time	data	error	fit	res
3.3554432000	0.0131477005	0.0060968736	0.0000448642	2.1491074229
3.5651584000	0.0132684935	0.0059042064	0.0000409709	2.2403557240
3.7748736000	0.0127313656	0.0060035107	0.0000376098	2.1143888038
3.9845888000	0.0128944356	0.0062305233	0.0000346844	2.0639921626
4.1943040000	0.0131520001	0.0060021239	0.0000321194	2.1858730054
4.6137344000	0.0130165979	0.0060820614	0.0000278461	2.1355838130
5.0331648000	0.0131580477	0.0060948476	0.0000244428	2.1548700838
5.4525952000	0.0130705125	0.0060913143	0.0000216805	2.1422030460
5.8720256000	0.0125868795	0.0060938915	0.0000194018	2.0623074103
6.2914560000	0.0127821711	0.0061875475	0.0000174962	2.0629619438
6.7108864000	0.0125869643	0.0062422444	0.0000158832	2.0138719842
7.1303168000	0.0131621539	0.0058416679	0.0000145037	2.2506671726
7.5497472000	0.0126756541	0.0058352916	0.0000133130	2.1699585956
7.9691776000	0.0128000631	0.0060557485	0.0000122767	2.1116772597
8.3886080000	0.0128320200	0.0060667417	0.0000113682	2.1132681144
9.2274688000	0.0126833450	0.0061964681	0.0000098547	2.0452764452
10.0663296000	0.0128183612	0.0059949821	0.0000086496	2.1367389246
10.9051904000	0.0127752217	0.0061527205	0.0000076716	2.0751064788
11.7440512000	0.0128742943	0.0059673553	0.0000068649	2.1563035283
12.5829120000	0.0124894015	0.0061628462	0.0000061903	2.0255594374
13.4217728000	0.0128684129	0.0061056314	0.0000056193	2.1067097934
14.2606336000	0.0127900397	0.0059097179	0.0000051311	2.1633703790
15.0994944000	0.0124007793	0.0059486813	0.0000047097	2.0838348904
15.9383552000	0.0126678722	0.0061220147	0.0000043429	2.0685231750
16.7772160000	0.0127101200	0.0059480250	0.0000040214	2.1361878237
18.4549376000	0.0130028853	0.0059650745	0.0000034859	2.1792518279
20.1326592000	0.0125773102	0.0059969401	0.0000030595	2.0967777745
21.8103808000	0.0126799306	0.0058038215	0.0000027134	2.1842879146
23.4881024000	0.0126234459	0.0059163559	0.0000024280	2.1332418223
25.1658240000	0.0127223124	0.0060855046	0.0000021894	2.0902330975
26.8435456000	0.0126042893	0.0060924457	0.0000019874	2.0685128098
28.5212672000	0.0127335782	0.0059512770	0.0000018147	2.1393330389
30.1989888000	0.0124991262	0.0058134825	0.0000016656	2.1497373813
31.8767104000	0.0123681033	0.0060079602	0.0000015359	2.0583637234
33.5544320000	0.0125898480	0.0059102312	0.0000014222	2.1299379544
36.9098752000	0.0126047512	0.0059759272	0.0000012327	2.1090481809
40.2653184000	0.0125385155	0.0059449213	0.0000010819	2.1089318030
43.6207616000	0.0125937609	0.0058831532	0.0000009595	2.1404850165
46.9762048000	0.0123666883	0.0058899064	0.0000008586	2.0994950958
50.3316480000	0.0123437508	0.0058907708	0.0000007742	2.0953075668
53.6870912000	0.0124532086	0.0060328716	0.0000007028	2.0641092163
57.0425344000	0.0124015448	0.0058593944	0.0000006417	2.1164138043
60.3979776000	0.0123011569	0.0058579285	0.0000005890	2.0998152953
63.7534208000	0.0122972602	0.0058113205	0.0000005431	2.1159936045
67.1088640000	0.0124134037	0.0057791352	0.0000005029	2.1478820559
73.8197504000	0.0124878181	0.0058947292	0.0000004359	2.1183979481
